word_count,verb_z,content_word_mean,cos,causal_connective,causal_verb,minimal_edit_distance,verb_phrase_density,familiarity_for_word,YL
642,-0.465535934,0.010379223,0.791076975,18.69158879,0,0.52336309,172.8971963,58878.87931,1.1
708,-0.532575221,0.018624887,0.805755082,24.01129944,0.141242938,0.540843348,179.3785311,58778.11159,3.3
652,-0.544835028,0.014565128,0.824319897,10.73619632,0,0.507377352,177.9141104,58352.19298,3.9
691,-0.485525272,0.014664203,0.826044979,31.83791606,0,0.499579709,192.4746744,58369.869,4.7
391,-0.533256722,0.012573465,0.792781951,15.34526854,0,0.486539232,194.3734015,60180.83333,1.2
389,-0.601232176,0.016771624,0.761769963,7.712082262,0,0.516311947,215.9383033,59115.2,1.8
360,-0.559092285,0.044980106,0.786863306,8.333333333,0,0.484151141,269.4444444,59507.22892,1.3
570,-0.559214743,0.031661961,0.785383192,22.80701754,0,0.509363951,252.6315789,59048.86364,2.7
522,-0.631037962,0.015871208,0.779224632,11.49425287,0,0.515198853,212.6436782,58814.60674,3.8
508,-0.382597243,0.027805223,0.823994041,21.65354331,0.196850394,0.441179216,159.4488189,57968.32298,3.5
505,-0.372566911,0.018807944,0.817238195,47.52475248,0.198019802,0.485604748,196.039604,58208.37989,4.7
577,-0.49128568,0.015755557,0.759053319,12.13171577,0.173310225,0.5370312,181.9757366,57987.09677,3.3
418,-0.567898018,0.00417419,0.722841626,11.96172249,0.4784689,0.549768191,198.5645933,59369.23077,3.3
587,-0.455711297,0.023473422,0.827514498,18.73935264,0.170357751,0.489664438,212.9471891,58237.83784,3.9
389,-0.603346725,0.038600419,0.738712207,5.141388175,0,0.463945658,241.6452442,59721.56863,0.6
567,-0.510819476,0.035488954,0.724299607,5.291005291,0,0.446195735,252.2045855,59639.64497,0.6
496,-0.481179584,0.017509181,0.781682188,6.048387097,0,0.488684396,243.9516129,59490.13158,0.7
553,-0.541507954,0.023516494,0.796830086,23.50813743,0.180831826,0.482152594,224.2314647,57654.16667,3.3
504,-0.518755071,0.015257409,0.792608536,13.88888889,0,0.462897436,188.4920635,58570.68966,4.1
387,-0.526940322,0.014300187,0.739047842,7.751937984,0,0.491846018,175.7105943,59130.2521,3.3
686,-0.492331634,0.033222039,0.769457049,2.915451895,0,0.520373707,198.2507289,57988,0.9
568,-0.555692781,0.058061245,0.786303588,3.521126761,0,0.447362545,237.6760563,59498.40426,0.8
598,-0.415720891,0.035381331,0.73909573,1.672240803,0,0.487241999,252.5083612,59407.22892,0.8
610,-0.510597749,0.036540893,0.766425083,3.278688525,0,0.490444795,213.1147541,59003.77358,0.7
12220,-0.466592562,0.022935473,0.501423725,13.74795417,0.04091653,0.690561855,207.2831424,57669.72732,6.5
26372,-0.332386386,0.018299826,0.846291405,21.27256181,0.056878508,0.500567447,199.3402093,58129.66923,8.5
32381,-0.339580874,0.014545609,0.80442472,23.06908372,0.077205769,0.527602691,199.3144128,57316.51386,8
38603,-0.37566593,0.014820728,0.767163821,21.7081574,0.077714167,0.536826686,197.7307463,57703.62814,6.5
40069,-0.337201353,0.015808003,0.869417293,22.01202925,0.057400983,0.517267889,129.6763084,55440.32459,8
13378,-0.446751017,0.029375113,0.73758372,23.62087009,0.06727463,0.564201754,155.8528928,56299.17824,5
39618,-0.443110327,0.017226355,0.817129232,18.50169115,0.047957999,0.554318407,182.846181,56732.60406,7.5
11351,-0.429427525,0.019719387,0.802490702,29.07232843,0.079288168,0.549636411,173.0244031,57165.5347,5.5
19412,-0.536097432,0.010626914,0.557908262,21.63610138,0.066968885,0.670222346,182.7220276,57699.19028,7.5
25007,-0.386914036,0.00857258,0.626436855,17.03523014,0.103970888,0.639672816,150.9977206,57006.11823,8
19065,-0.358385613,0.008039308,0.590033024,16.41751901,0.068187779,0.686484602,157.0416994,56174.079,8
24109,-0.435000784,0.019695231,0.572969348,16.96461902,0.045626115,0.766684113,180.2646315,56880.10654,7
22981,-0.407512087,0.011135165,0.64563805,22.23575998,0.073974153,0.686513014,164.2226187,56531.90165,8
15240,-0.394800532,0.014404074,0.598432018,20.53805774,0.111548556,0.660140243,153.2152231,56344.93274,8
24269,-0.490377755,0.024372258,0.812510279,27.73085006,0.065927727,0.512854557,207.8783633,57886.32898,5
28246,-0.361459446,0.010372555,0.654997775,21.77299441,0.084967783,0.618798478,162.2176591,57281.62864,8
38694,-0.348623148,0.011668039,0.829922755,21.91554246,0.03618132,0.530288723,193.3633121,56817.07662,5
2166,-0.377320375,0.003995961,0.682268028,23.54570637,0.046168052,0.688354087,159.2797784,56308.84831,5
26822,-0.385007532,0.012872327,0.538616544,20.50555514,0.059652524,0.658578618,157.0725524,56491.28069,8
31459,-0.344406331,0.019319472,0.821660001,14.7175689,0.063574812,0.533180491,132.3309705,55184.64416,8.5
18203,-0.438072808,0.005593895,0.567949718,19.94176784,0.159314399,0.731527405,156.4577267,56004.05622,8
25558,-0.360991317,0.011760756,0.867202259,21.32404727,0.054777369,0.506868609,145.433915,56495.01199,5.5
20830,-0.391524549,0.010637273,0.596799472,22.03552568,0.086413826,0.648259914,157.9932789,57175.42929,8
28899,-0.390568391,0.013558031,0.791568902,22.83816049,0.069206547,0.555741076,185.9579916,57242.16908,5
4218,-0.484566547,0.035539031,0.840488465,13.27643433,0,0.518395182,233.5229967,59136.01108,1.4
5259,-0.453045293,0.021211226,0.814809454,15.21201749,0.038030044,0.524423555,222.0954554,59330.38328,1.8
4939,-0.477612983,0.02631464,0.821686929,15.59020045,0.020247014,0.51298334,234.6628872,58962.6506,1.8
5619,-0.471590943,0.024292914,0.816209282,17.26285816,0.017796761,0.501006529,219.7899982,59153.17104,1.8
4644,-0.445547699,0.028694179,0.8153841,13.99655469,0.064599483,0.514019058,219.4229113,59201.47059,1.4
4550,-0.482006672,0.025617578,0.82370135,16.7032967,0.043956044,0.513563614,219.1208791,59283.45267,1.4
5141,-0.472929152,0.019727124,0.804198975,14.97763081,0,0.505228206,208.3252286,59344.93713,1.4
4173,-0.453771562,0.024210677,0.809359012,11.98178768,0,0.506419273,210.6398275,59804.27427,1.2
4955,-0.458715095,0.029961288,0.803195654,9.283551968,0,0.502839103,228.6579213,59311.14837,1.2
9331,-0.488509873,0.023473776,0.841996266,16.82563498,0.010716965,0.526236283,231.2721037,59058.75,2.6
6663,-0.403303249,0.023979002,0.830599401,16.35899745,0,0.521915328,225.5740657,59245.58499,2.6
9694,-0.453347098,0.02037767,0.855995779,21.35341448,0.041262637,0.519583047,213.740458,57960.06139,3.6
16810,-0.461706356,0.026643521,0.852600542,18.50089233,0.03569304,0.521326865,231.0529447,58617.25303,3.2
14885,-0.486792399,0.018909638,0.819950922,19.81860934,0.067181727,0.508350369,209.0695331,58367.87494,3.2
7514,-0.466765166,0.028625882,0.849892711,12.64306628,0.039925472,0.513933146,230.2368911,58905.25337,2.4
7235,-0.470086478,0.022437382,0.820228029,17.55355909,0.0138217,0.523264103,209.813407,58518.31483,2.4
7026,-0.425771349,0.024083047,0.82444479,12.95189297,0.056931398,0.517484071,227.0139482,58712.5066,2.4
7595,-0.465940496,0.026962427,0.83226567,10.13824885,0.039499671,0.493946811,207.1099408,58725.13636,2.4
5975,-0.473896914,0.027778163,0.823947126,17.07112971,0.016736402,0.506214414,222.0920502,58681.03851,2
6299,-0.493249935,0.022763425,0.833034402,14.92300365,0,0.510660512,233.0528655,58827.51495,2
6164,-0.490032746,0.027899822,0.831279832,15.41207008,0,0.524046895,225.5029202,58787.51538,2
10899,-0.40200116,0.027840122,0.841727187,10.36792366,0.018350307,0.491312518,227.9108175,59217.84195,2.6
17407,-0.485257389,0.016859638,0.848584909,19.36002758,0.063192968,0.505726558,220.7732521,58587.32129,3.6
17314,-0.451224632,0.033762352,0.862115331,17.15374841,0.028878364,0.52298073,225.3667552,59010.86628,3.2
8874,-0.497611887,0.016475075,0.814156713,19.15708812,0.033806626,0.515641079,216.362407,58736.15323,2.8
9960,-0.464973895,0.034631496,0.851075632,14.85943775,0.040160643,0.517672943,237.1485944,59351.85045,2.8
10155,-0.498499455,0.028884446,0.844946464,12.5061546,0.049236829,0.490093512,233.2840965,58729.67074,2.8
18933,-0.481215435,0.020952416,0.852563809,22.92293878,0.052817831,0.505701586,222.7327946,58275.23535,4.4
16673,-0.432311575,0.026225573,0.839638556,17.69327655,0.041984046,0.503700647,223.5350567,58190.74113,4.4
22114,-0.450998628,0.022421617,0.836732622,22.47445057,0.022610111,0.494568088,217.8710319,58155.13242,4.4
15954,-0.498075015,0.020902467,0.838516106,17.29973674,0.043876144,0.524912956,223.2668923,58606.85377,4
18251,-0.371742494,0.020345929,0.847643863,18.35515862,0.076708126,0.519320755,224.1521013,58017.79346,4
20173,-0.472501116,0.01969112,0.84920178,15.41664601,0.039656967,0.506255874,219.3526,58734.57305,4
15736,-0.499764645,0.02446427,0.855672373,22.17844433,0.01270971,0.516638354,214.9847483,58592.76224,4
15422,-0.468553969,0.02827517,0.85469873,20.23083906,0.05835819,0.519084542,230.5148489,58535.67455,4.8
27056,-0.438640099,0.025234141,0.84967094,21.17829687,0.040656416,0.514195075,219.5446481,57954.57254,4.8
2752,-0.581719878,0.029384277,0.856825914,27.61627907,0,0.444220961,210.755814,58889.38294,2.5
2759,-0.608747707,0.029732539,0.881198542,16.6727075,0,0.443688295,212.7582457,58842.92322,2.5
2598,-0.622070316,0.033651207,0.841270223,20.40030793,0.038491147,0.451940705,213.6258661,58504.61384,2.5
2761,-0.615287919,0.025799378,0.859656743,20.64469395,0,0.449233786,232.5244477,58743.02703,2.5
2335,-0.636637562,0.044835353,0.872108371,19.70021413,0.17130621,0.449625761,246.2526767,59276.12761,2.5
2631,-0.650477629,0.029890421,0.868635999,13.30292664,0.114025086,0.451795086,223.4891676,58534.57052,2.5
2547,-0.61124737,0.031869638,0.877580103,21.98665096,0,0.451562073,235.5712603,58565.75053,2.5
103275,-0.41266368,0.011697285,0.822987685,15.9573953,0.083272815,0.531611867,172.3326588,56066.92821,8
109289,-0.39354701,0.00488975,0.779246566,19.30660908,0.086010486,0.560449119,189.3373103,57142.49687,6.6
115620,-0.210606853,0.019845499,0.863904125,19.22677737,0.025082166,0.550381664,197.4370038,57873.62108,8.5
77210,-0.385788574,0.02421413,0.866776955,19.07783966,0.063463282,0.53235003,194.0371963,57094.68291,6.5
99746,-0.402775519,0.016770266,0.923887634,26.32687025,0.073185892,0.491530765,162.7634191,56276.4261,7
98721,-0.38723581,0.017057158,0.817584241,21.78867718,0.069893944,0.513034108,200.2106948,57541.27211,7.6
113787,-0.399439839,0.027182091,0.868167875,21.34690255,0.068549131,0.506629019,201.2883721,57603.74567,7.5
82733,-0.419804584,0.016178775,0.84252829,22.60283079,0.076148574,0.514283433,200.5846611,57580.96442,7.3
73300,-0.465532021,0.020035062,0.841768383,21.88267394,0.058663029,0.529559751,202.5238745,57402.35959,7
66236,-0.420265323,0.017644413,0.861188082,18.14723111,0.037743825,0.523718038,176.7059179,56037.3425,8.2
67299,-0.302308451,0.013457675,0.857998223,25.89934472,0.084696652,0.541439011,171.1059942,56953.16555,7
58924,-0.352011256,0.014754244,0.729686688,28.10399837,0.040730432,0.642062573,145.5720903,56177.42163,7.7
81446,-0.336472885,0.012449644,0.842745042,23.15644722,0.112958279,0.533335108,203.300816,57582.83907,7
58712,-0.352686302,0.019530846,0.896980167,23.84521052,0.095380842,0.534741697,197.2613005,57620.4333,5
155641,-0.482466046,0.020035047,0.884522428,23.97825766,0.079670524,0.540873513,196.6114545,57403.94916,5.5
73093,-0.441187107,0.011555045,0.815512678,16.499528,0.084823444,0.54014653,174.5423701,56262.00732,7
51153,-0.378041318,0.017075949,0.872742469,28.81551424,0.111430415,0.516996469,188.6755601,57525.56555,7
61278,-0.307182255,0.018459225,0.842893948,25.68621691,0.070172003,0.561559279,166.6530686,56568.63814,7
67572,-0.39853616,0.009835685,0.807996634,20.28946901,0.076954952,0.560013049,188.1378864,57006.00915,7
62641,-0.416558253,0.010367417,0.826083045,25.94147603,0.103765904,0.535132,193.9690952,56188.25843,7
50728,-0.390047266,0.013109377,0.848857154,22.6502129,0.153761236,0.50073987,213.3648729,57718.10116,7.5
80211,-0.39320018,0.018348716,0.842124307,19.86011894,0.067322437,0.556543626,187.2250265,57050.8637,7
48723,-0.359097076,0.014374614,0.82007305,21.18096176,0.102620939,0.516065414,162.7076923,55875.9674,7
85269,-0.380377798,0.009418379,0.802213172,21.83677538,0.099684528,0.540467597,181.4354404,55942.16687,7
62545,-0.369678705,0.019086939,0.881408756,28.07578543,0.092733232,0.512169965,182.3806859,57096.85311,7
64977,-0.365746382,0.012591702,0.837339487,21.45374517,0.140049556,0.515676101,188.1851869,57354.14577,6.5
76634,-0.458415334,0.027006271,0.846449928,19.67794974,0.075684422,0.560203542,195.3507181,57522.7095,7
84518,-0.323636815,0.011340519,0.784922915,21.35639745,0.055609456,0.560147714,164.0048268,55930.02088,7
63717,-0.42735112,0.010696609,0.808666451,22.4116013,0.105152471,0.557038374,199.1305436,57098.78446,7
54282,-0.366883622,0.012306352,0.819480474,21.25934932,0.08474264,0.518101181,199.5468194,57227.31462,6.5
124683,-0.368246072,0.024352385,0.857963561,20.27541846,0.040101698,0.514046678,198.9284826,57494.59831,9.5
164745,-0.472889792,0.019227528,0.885437915,24.01893836,0.065555859,0.555074525,195.3093703,57596.35488,7.7
125507,-0.317435775,0.016418669,0.864065515,20.11839977,0.078083294,0.541467938,205.701674,56783.73476,7.5
136222,-0.393001952,0.012149912,0.869481125,26.06774236,0.084421019,0.489490493,167.0912094,56544.60476,7
69864,-0.46451756,0.015140223,0.875552715,31.73308142,0.090175198,0.504055034,210.7628453,57516.7869,7
100215,-0.419612429,0.010028063,0.793036279,22.53155715,0.045901312,0.571409171,179.6118924,57091.22544,8.5
54610,-0.33876687,0.013530043,0.828064896,22.52334737,0.060428493,0.540657792,202.5777631,57476.77161,7
62987,-0.401023111,0.018403058,0.854823622,32.30825408,0.069855685,0.542965892,192.7705105,57025.45004,5.5
89512,-0.431985974,0.008057001,0.797771401,21.50549647,0.09049066,0.550439559,197.6831216,57159.41526,6.6
197534,-0.397780697,0.026119443,0.892107848,26.8915731,0.07998623,0.53480394,192.9844989,57453.20858,8.5
142188,-0.356184666,0.018281561,0.89067271,27.85748446,0.115340254,0.506346345,167.5809492,56126.24302,8